stem,split
0003_4356b62f55d145f4accce940c033cd8b,train
0006_f7fb6818a2eb49bc8fac836802d2cc2d,train
0022_stanford_00019,train
0089_stanford_00086,train
0098_stanford_00095,train
0107_stanford_00105,train
0126_stanford_00124,train
0127_stanford_00125,train
0144_stanford_00142,train
0205_stanford_00204,train
0222_stanford_00222,train
0228_stanford_00228,train
0257_stanford_00257,train
0282_stanford_00283,train
stanford_raw_00089_cars_test_00095,train
stanford_raw_00128_cars_test_00135,train
stanford_raw_00146_cars_test_00154,train
stanford_raw_00207_cars_test_00215,train
stanford_raw_00240_cars_test_00248,train
stanford_raw_00284_cars_test_00292,train
stanford_raw_00307_cars_test_00315,train
stanford_raw_00313_cars_test_00321,train
stanford_raw_00314_cars_test_00322,train
stanford_raw_00341_cars_test_00350,train
stanford_raw_00372_cars_test_00382,train
stanford_raw_00379_cars_test_00389,train
stanford_raw_00414_cars_test_00424,train
stanford_raw_00478_cars_test_00489,train
stanford_raw_00562_cars_test_00575,train
stanford_raw_00573_cars_test_00586,train
stanford_raw_00639_cars_test_00653,train
stanford_raw_00690_cars_test_00704,train
stanford_raw_00691_cars_test_00705,train
stanford_raw_00710_cars_test_00724,val
stanford_raw_00719_cars_test_00733,val
stanford_raw_00726_cars_test_00740,val
stanford_raw_00735_cars_test_00749,val
stanford_raw_00794_cars_test_00810,val
stanford_raw_00820_cars_test_00837,val
stanford_raw_00895_cars_test_00913,val
stanford_raw_00929_cars_test_00949,val

